Roller Coaster,Amusement Park,Type,Design,Status,Opened
Apollo Steamrocket,Kingoland,Steel,Sit Down,Operating,2014-01-01
Apple,Parc Bellevue,Steel,Sit Down,Operating,2016-01-01
Apple Coaster,Codona's Amusement Park,Steel,Sit Down,Operating,2003-01-01
Apple Coaster,Fantasia Luna Park,Steel,Sit Down,Relocated,2003-01-01
Apple Coaster,Codona's Amusement Park,Steel,Sit Down,Relocated,1999-01-01
Apple Coaster,Southport Pleasureland,Steel,Sit Down,Operating,2016-01-01
Apple Coaster,Atallah Happy Land Park,Steel,Sit Down,Operating,2009-01-01
Apple Tree,Action Zone,Steel,Sit Down,Operating,2003-01-01
Apple Worm,Xixiakou China,Steel,Sit Down,,2006-01-01
Apple Worm,Hangzhou Paradise,Steel,Sit Down,Relocated,2011-01-01
Apple Worm,Hangzhou Paradise,Steel,Sit Down,Operating,2016-01-01
Apple Worm,Club Hotel Turan Prince World,Steel,Sit Down,Operating,2014-01-01
Apple Zapple,Kings Dominion,Steel,Sit Down,Operating,2002-01-01
Aqua Dive,EsselWorld,Steel,Sit Down,Operating,1995-01-01
Aqua Dive,Crystal World,Steel,Sit Down,Operating,2006-01-01
Aquaman: Power Wave,Six Flags Over Texas,Steel,Sit Down,Under Construction,2022-01-01
Aqua Shoot,Funcity,Steel,Sit Down,Operating,2003-01-01
Aqua Wind,Lagunasia,Steel,Sit Down,Operating,2004-01-01
Arashi,Nagashima Spa Land,Steel,Wing,Operating,2017-01-01
Arctic Blast,Ocean Park,Steel,Sit Down,Operating,2012-01-01
Arctic Cat,Crystal Beach,Steel,Sit Down,,1974-01-01
Arena Coaster,Zillertal Arena,Steel,Sit Down,Operating,2007-01-01
Ariel Railway,Sans Souci Park,Wood,Sit Down,,1905-01-01
Arkansas Twister,Magic Springs Theme and Water Park,Wood,Sit Down,Operating,1992-01-01
Arkham Asylum - Shock Therapy,Warner Bros. Movie World,Steel,Inverted,SBNO,1995-01-01
Armada Invencible,Formosan Aboriginal Culture Village,Steel,Sit Down,Operating,2008-01-01
Armored Train,Luna Park Carousel on Poklonnaya Hill,Steel,Sit Down,Operating,2013-01-01
Arthur,Europa Park,Steel,Inverted,Operating,2014-01-01
Aska,Nara Dreamland,Wood,Sit Down,,1998-01-01
Asteroid,City Park,Steel,Sit Down,,2002-01-01
Asteroid,Gorky Park,Steel,Sit Down,Operating,2018-01-01
Astro Boy Lunar Tour's,Seibuen Yuenchi,Steel,Sit Down,Operating,2004-01-01
Astro Comet,Maviland,Steel,Sit Down,,2002-01-01
Astro Express,Fun City,Steel,Sit Down,Operating,2011-01-01
Astropax 18,VVC Wheel Park,Steel,Sit Down,,1995-01-01
Astro-ride,Freedom Land U.S.A,Steel,Sit Down,,1962-01-01
Astro Storm,Brean Theme Park,Steel,Sit Down,Operating,2011-01-01
Astroworm,Starland Theme Park,Steel,Sit Down,,2012-01-01
Atlanta,Fun World,Steel,Sit Down,,2005-01-01
Atlantica SuperSplash,Europa Park,Steel,Sit Down,Operating,2005-01-01
Atlantis Adventure,Lotte World,Steel,Sit Down,Operating,2003-01-01
Atlantis Spin,Bali Safari,Steel,Sit Down,Operating,2009-01-01
Atomic,Greenland,Steel,Sit Down,,1980-01-01
Atomic Coaster,Japan Monkey Park,Steel,Sit Down,,1980-01-01
Atomic Coaster,Dreamland,Steel,Sit Down,,
Atomic Coaster,Beijing Shijingshan Amusement Park,Steel,Sit Down,,1986-01-01
Atomic Coaster,Xian North Children Park,Steel,Sit Down,,1997-01-01
Atomic Coaster,Sekitan No Rekishi Mura,Steel,Sit Down,,2005-01-01
Atomic Mouse,Gwangju Family Land,Steel,Sit Down,Operating,1981-01-01
Atom Smasher,Rockaways' Playland,Wood,Sit Down,,1938-01-01
Auto BergBahn,Wiener Prater,Wood,Sit Down,Operating,1948-01-01
Autosled,Galaxyland Amusement Park,Steel,Sit Down,Operating,1985-01-01
Avalancha,Xetulul,Steel,Sit Down,Operating,2002-01-01
