Roller Coaster,Amusement Park,Type,Design,Status,Opened
Barnyard Coaster,4D Farm,Steel,Sit Down,Operating,2019
Barnyard Dance,Bengtson's Pumpkin Farm,Steel,Sit Down,Operating,2017
Baron 1898,Efteling,Steel,Sit Down,Operating,2015
Barracuda,Fuli Ocean Happy World,Steel,Sit Down,Under Construction,2021
Barracuda,Jolly Roger Amusement Park,Steel,Sit Down,Operating,2019
Barreling Rapids,Austin's Park,Steel,Sit Down,Operating,2021
Barry's Big Dipper,Barry's Amusements,Steel,Sit Down,SBNO,2002
Basoto Bruko,Panda Park Posillipo,Steel,Sit Down,Operating,2004
Bassotto,Fantasiland,Steel,Sit Down,Operating,2002
Bassotto,Edenlandia,Steel,Sit Down,Operating,2019
Bassotto,Fiesta Parc,Steel,Sit Down,Operating,2020
Bat,Canada's Wonderland,Steel,Sit Down,Operating,1987
Bat,Kings Island,Steel,Suspended,Operating,1993
Bat,Kings Island,Steel,Suspended,,1981
Bat,Lagoon,Steel,Inverted,Operating,2005
Bat Coaster,Nigloland,Steel,Inverted,Relocated,2002
Bat Coaster,Antibes Land,Steel,Inverted,,2007
Bat Diving Speedy Car,Hangzhou Children's Park,Steel,Suspended,,2003
Bat Flight,Datong Park,Steel,Suspended,,2009
Batflyer,Lightwater Valley,Steel,Suspended,Relocated,1996
Batflyer,Duinrell,Steel,Suspended,,
Batflyer,Hamanako Pal Pal,Steel,Suspended,Relocated,2001
Batflyer,Nasu Highland Park,Steel,Suspended,SBNO,2001
Batflyer,World in Miniature,Steel,Suspended,,
Bat Flyer,Yingze Park,Steel,Suspended,,2008
Bat from Heaven,Aquatic Paradise,Steel,Suspended,SBNO,2007
Bat Glider,Trans Studio Bali,Steel,Suspended,Operating,2019
Bat Glider,Trans Studio Cibubur,Steel,Suspended,Operating,2019
Bat Hatari: Perseguição em Gotham City,Hopi Hari,Steel,Sit Down,Operating,1999
Batman,Malmö Folkets Park,Steel,Sit Down,Relocated,2006
Batman,Furuvik,Steel,Sit Down,Relocated,2007
Batman,Malmö Folkets Park,Steel,Sit Down,Relocated,2009
Batman,Tir Prince Family Funfair,Steel,Sit Down,Operating,2017
Batman And Robin: The Chiller,Six Flags Great Adventure,Steel,Sit Down,Relocated,1998
Batman: Arkham Asylum,Parque Warner Madrid,Steel,Inverted,Operating,2002
Batman - The Dark Knight,Six Flags New England,Steel,Sit Down,Operating,2002
Batman The Escape,Six Flags AstroWorld,Steel,Stand Up,Relocated,1993
Batman The Ride,Six Flags Great America,Steel,Inverted,Operating,1992
Batman The Ride,Six Flags Magic Mountain,Steel,Inverted,Operating,1994
Batman The Ride,Six Flags Great Adventure,Steel,Inverted,Operating,1993
Batman The Ride,Six Flags St. Louis,Steel,Inverted,Operating,1995
Batman The Ride,Six Flags Over Georgia,Steel,Inverted,Operating,1997
Batman The Ride,Six Flags Over Texas,Steel,Inverted,Operating,1999
Batman The Ride,Six Flags Mexico,Steel,Inverted,Operating,2000
Batman: The Ride,Six Flags New Orleans,Steel,Inverted,Relocated,2003
Batman The Ride,Six Flags Fiesta Texas,Steel,Wing,Operating,2015
Batman The Ride,Six Flags Discovery Kingdom,Steel,Wing,Operating,2019
Battle of Blue Fire,Quancheng Euro Park,Steel,Sit Down,Operating,2014
Battle of Jungle King,Hefei Sunac Land,Steel,Sit Down,Operating,2016
